Device,Trip,Time,TargetId,ObstacleId,Range,RangeRate,Transversal,TargetType,Status,CIPV
10153,284,280,1,3,20.72222,0.5277767,-0.3333333,0,3,1
10153,284,290,1,3,20.77778,0.6111107,-0.3472222,0,3,1
10153,284,300,1,3,20.84722,0.7152786,-0.3611111,0,3,1
10153,284,310,1,3,20.92361,0.7986088,-0.375,0,3,1
10153,284,320,1,3,21.00694,0.8680573,-0.3888889,0,3,1
10153,284,330,1,3,21.09722,0.8958359,-0.4027778,0,3,1
10153,284,340,1,3,21.19444,0.8611107,-0.4236111,0,3,1
10153,284,350,1,3,21.27778,0.7777767,-0.4375,0,3,1
10153,284,360,1,3,21.34722,0.6180534,-0.4513889,0,3,1
10153,284,370,1,3,21.40972,0.4236107,-0.4652778,0,3,1
10153,284,380,1,3,21.4375,0.2430592,-0.4722222,0,3,1
10153,284,390,1,3,21.44444,0.08333588,-0.4791667,0,3,1
10153,284,400,1,3,21.45139,-0.04166794,-0.4930556,0,3,1
10153,284,410,1,3,21.44444,-0.145834,-0.5,0,3,1
10153,284,420,1,3,21.41667,-0.2222233,-0.5069444,0,3,1
10153,284,430,1,3,21.38889,-0.2152786,-0.5069444,0,3,1
10153,284,440,1,3,21.36806,-0.1388893,-0.5069444,0,3,1
10153,284,450,1,3,21.36111,-0.02083397,-0.5,0,3,1
10153,284,460,1,3,21.36111,0.09028053,-0.4930556,0,3,1
