LaneId,GeometryId,LaneNumber,LaneTypeId,LaneAttributes,Width,ReferenceLaneNumber,LateralOffset,NodeAttributes,ManeuverCode
1,13,1,1,0x00E2,335,0,0,0,NULL
2,4,1,1,0x00E2,335,0,0,0,NULL
3,12,1,1,0x00E2,335,0,0,0,NULL
4,16,1,1,0x00E2,335,0,0,0,NULL
5,1,1,1,0x00E2,335,0,0,0,NULL
6,6,1,1,0x00E2,335,0,0,0,NULL
7,14,1,1,0x00E2,335,0,0,0,NULL
8,15,1,1,0x00E2,335,0,0,0,NULL
9,5,1,1,0x00E2,335,0,0,0,NULL
10,11,1,1,0x00E2,335,0,0,0,NULL
11,20,1,1,0x00E2,335,0,0,0,NULL
12,10,1,1,0x00E2,335,0,0,0,NULL
13,7,1,1,0x00E2,335,0,0,0,NULL
14,9,1,1,0x00E2,335,0,0,0,NULL
15,18,1,1,0x00E2,335,0,0,0,NULL
16,2,1,1,0x00E2,335,0,0,0,NULL
17,17,1,1,0x00E2,335,0,0,0,NULL
18,8,1,1,0x00E2,335,0,0,0,NULL
19,19,1,1,0x00E2,335,0,0,0,NULL
