SPATID,CurrentVersion,IntersectionId,IntersectionStatus,MsgTimestamp
1744133965,52,126,0x00,2013-04-11 00:02:55.800
1744133966,221,171,0x00,2013-04-11 00:10:16.300
1744133969,15,172,0x00,2013-04-11 00:31:15.700
1744133978,178,172,0x00,2013-04-11 00:02:55.700
1744133979,222,171,0x00,2013-04-11 00:10:16.400
1744133985,16,172,0x00,2013-04-11 00:31:15.800
1744133989,223,171,0x00,2013-04-11 00:10:16.500
1744133992,17,172,0x00,2013-04-11 00:31:15.900
1744133994,53,126,0x00,2013-04-11 00:02:55.900
1744133996,224,171,0x00,2013-04-11 00:10:16.600
1744133998,179,172,0x00,2013-04-11 00:02:55.800
1744134000,18,172,0x00,2013-04-11 00:31:16.000
1744134004,225,171,0x00,2013-04-11 00:10:16.700
1744134006,19,172,0x00,2013-04-11 00:31:16.100
1744134012,226,171,0x00,2013-04-11 00:10:16.800
1744134014,20,172,0x00,2013-04-11 00:31:16.200
1744134015,54,126,0x00,2013-04-11 00:02:56.000
1744134018,227,171,0x00,2013-04-11 00:10:16.900
1744134025,21,172,0x00,2013-04-11 00:31:16.300
