MovementId,SPATID,CurrentState,MinTimeremaining,MaxTimeremaining,YellowState,YellowTime,PedestrianDetect,VehiclePedestrianCount,LaneSet
2113764714,1845969021,0x01,96,176,NULL,0,0,0,15,0
2113764727,1845969073,0x04,96,176,NULL,0,0,0,4,1
2113764752,1845969073,0x40,111,512,NULL,0,0,0,6,2,8,2
2113957619,1846025461,0x04,157,518,NULL,0,0,0,3,1
2113957642,1846025461,0x04,21,232,NULL,0,0,0,4,1
2113957643,1846025488,0x04,19,19,NULL,0,0,0,1,1,5,4
2113957669,1846025461,0x40,157,724,NULL,0,0,0,6,2
2113957676,1846025488,0x04,19,169,NULL,0,0,0,2,1
2113957687,1846025461,0x40,21,21,NULL,0,0,0,7,2
2113957703,1846025488,0x04,155,516,NULL,0,0,0,3,1
2113957722,1846025461,0x40,157,518,NULL,0,0,0,8,2
2113957725,1846025488,0x04,19,230,NULL,0,0,0,4,1
2113957744,1846025461,0x40,21,232,NULL,0,0,0,9,2
2113957748,1846025488,0x40,155,722,NULL,0,0,0,6,2
2113957772,1846025488,0x40,19,19,NULL,0,0,0,7,2
2113957776,1846025461,0x01,157,724,NULL,0,0,0,10,0
2113957797,1846025488,0x40,155,516,NULL,0,0,0,8,2
2113957806,1846025461,0x01,157,935,NULL,0,0,0,11,0
2113957821,1846025488,0x40,19,230,NULL,0,0,0,9,2
