TrafficCountDataID,CountID,Count Date,StreetName,DirectionFromCross,CrossStreet,TravelDirection,24HourCount,PeakHourCount,PeakHourTime,5PMCount,Source Agency,48HourAverage,CityTwp
13854,26871,6/6/2013,CLARK,W,HEWITT,2way,13623,1082,1700,1082,WCRC,FALSE,Superior Twp
13855,26871,6/6/2013,CLARK,W,HEWITT,EB,6452,571,1700,571,WCRC,FALSE,Superior Twp
13856,26871,6/6/2013,CLARK,W,HEWITT,WB,7171,552,800,511,WCRC,FALSE,Superior Twp
13846,26868,6/5/2013,BURNS,E,EDISON,EB,177,20,1600,14,WCRC,FALSE,Ypsilanti Twp
13845,26868,6/5/2013,BURNS,E,EDISON,2way,316,40,1600,28,WCRC,FALSE,Ypsilanti Twp
13847,26868,6/5/2013,BURNS,E,EDISON,WB,139,20,1600,14,WCRC,FALSE,Ypsilanti Twp
13848,26869,6/5/2013,BURNS,E,EDISON,2way,316,40,1600,28,WCRC,FALSE,Ypsilanti Twp
13849,26869,6/5/2013,BURNS,E,EDISON,EB,177,20,1600,14,WCRC,FALSE,Ypsilanti Twp
13850,26869,6/5/2013,BURNS,E,EDISON,WB,139,20,1600,14,WCRC,FALSE,Ypsilanti Twp
13851,26870,6/5/2013,BURNS,W,EDISON,2way,342,35,1600,24,WCRC,FALSE,Ypsilanti Twp
13852,26870,6/5/2013,BURNS,W,EDISON,EB,178,19,1600,13,WCRC,FALSE,Ypsilanti Twp
13853,26870,6/5/2013,BURNS,W,EDISON,WB,164,18,1100,11,WCRC,FALSE,Ypsilanti Twp
13879,26879,6/5/2013,TALLADAY,W,TUTTLE HILL RD. (BRIDGE),EB,144,15,2000,9,WCRC,FALSE,Augusta Twp
13880,26879,6/5/2013,TALLADAY,W,TUTTLE HILL RD. (BRIDGE),WB,130,15,700,13,WCRC,FALSE,Augusta Twp
13878,26879,6/5/2013,TALLADAY,W,TUTTLE HILL RD. (BRIDGE),2way,274,24,700,22,WCRC,FALSE,Augusta Twp
13887,26882,6/4/2013,ARKONA,E,FULLER,2way,122,13,1700,13,WCRC,FALSE,Augusta Twp
13889,26882,6/4/2013,ARKONA,E,FULLER,WB,60,10,1700,10,WCRC,FALSE,Augusta Twp
13888,26882,6/4/2013,ARKONA,E,FULLER,EB,62,6,1500,3,WCRC,FALSE,Augusta Twp
13877,26878,6/4/2013,CARPENTER,S,WILLIS,SB,2704,365,1800,360,WCRC,FALSE,York Twp
