USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
725374,94889,201304010053,270,9,***,722,SCT,*,*,*,10.0,**,**,**,**,**,**,**,**,*,49,30,1004.1,29.64,973.6,***,***,0.00,*****,*****,*****,**,
725374,94889,201304010153,300,7,***,75,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,48,35,1004.7,29.66,974.2,***,***,0.00,*****,*****,*****,**,
725374,94889,201304010249,320,11,24,27,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,46,34,******,29.68,974.9,***,***,*****,*****,*****,*****,**,
725374,94889,201304010253,330,14,***,34,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,46,33,1005.4,29.68,974.9,***,***,0.00,*****,*****,*****,**,
725374,94889,201304010353,290,18,28,110,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,43,31,1006.0,29.70,975.5,***,***,0.00,*****,*****,*****,**,
725374,94889,201304010453,300,14,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,39,27,1006.4,29.71,975.9,***,***,0.00,*****,*****,*****,**,
725374,94889,201304010459,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,60,***,*****,*****,0.05,*****,**,
725374,94889,201304010553,300,10,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,37,26,1006.7,29.72,976.2,52,37,0.00,*****,*****,*****,**,
725374,94889,201304010651,340,15,23,24,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,36,27,******,29.75,977.2,***,***,*****,*****,*****,*****,**,
725374,94889,201304010653,340,13,22,32,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,34,26,1007.8,29.75,977.2,***,***,0.00,*****,*****,*****,**,
725374,94889,201304010753,340,14,20,43,OVC,*,*,*,10.0,**,**,**,**,71,**,**,**,*,34,23,1008.7,29.78,978.2,***,***,0.00T*****,*****,*****,**,
725374,94889,201304010853,320,10,21,722,SCT,*,*,*,10.0,**,**,**,**,**,**,**,**,*,32,19,1009.8,29.81,979.2,***,***,0.00T*****,*****,0.00T**,
725374,94889,201304010953,330,10,21,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,30,13,1011.2,29.85,980.5,***,***,0.00,*****,*****,*****,**,
725374,94889,201304011053,320,8,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,29,14,1012.2,29.88,981.5,***,***,0.00,*****,*****,*****,**,
725374,94889,201304011153,320,8,16,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,29,15,1013.3,29.91,982.5,37,28,0.00,0.00T,0.05,*****,**,
725374,94889,201304011253,320,18,22,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,31,12,1014.1,29.93,983.1,***,***,0.00,*****,*****,*****,**,
725374,94889,201304011353,300,14,20,44,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,33,13,1014.7,29.95,983.8,***,***,0.00,*****,*****,*****,**,
725374,94889,201304011453,310,13,22,44,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,32,12,1015.4,29.97,984.5,***,***,0.00,*****,*****,*****,**,
725374,94889,201304011553,310,14,21,47,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,34,11,1015.8,29.98,984.8,***,***,0.00,*****,*****,*****,**,
