GeometryId,IntersectionId,GeometryDirectionId,Longitude,Latitude,Elevation
1,126,1,-2005985330,422864680,0
2,126,1,-2005985330,422864680,0
3,126,1,-2005985330,422864680,0
4,126,1,-2005985330,422864680,0
5,126,1,-2005985330,422864680,0
6,126,1,-2005985330,422864680,0
7,126,1,-2005985330,422864680,0
8,126,1,-2005985330,422864680,0
9,126,1,-2005985330,422864680,0
10,126,1,-2005985330,422864680,0
11,126,1,-2005985330,422864680,0
12,126,1,-2005985330,422864680,0
13,126,1,-2005985330,422864680,0
14,126,1,-2005985330,422864680,0
15,126,1,-2005985330,422864680,0
16,126,1,-2005985330,422864680,0
17,126,1,-2005985330,422864680,0
18,126,1,-2005985330,422864680,0
19,126,1,-2005985330,422864680,0
