DeviceID,Trip,Time,TargetID,Object_Type,Range_X,Range_Y,Speed_X,Speed_Y,Target_InPath,Target_Moving
10,1418996,3890200,15,3,146.912003,-0.448,-2.7,-0.3,0,1
10,1418996,3890200,16,3,127.232002,5.152,-2.5,0,0,1
10,1418996,3890300,14,3,98.368004,5.632,-3.5,0.5,0,1
10,1418996,3890300,15,3,146.752014,-0.544,-2.7,-0.3,0,1
10,1418996,3890300,16,3,127.040009,5.12,-2.5,0,0,1
10,1418996,3890400,14,3,98.080002,5.696,-3.5,0.5,0,1
10,1418996,3890400,15,3,146.528,-1.216,-2.7,-0.7,0,1
10,1418996,3890400,16,3,126.848007,4.896,-2.6,-0.2,0,1
10,1418996,3890500,14,3,97.568008,5.696,-3.5,0.5,0,1
10,1418996,3890500,15,3,146.144012,-1.12,-2.7,-0.6,0,1
10,1418996,3890500,16,3,126.464005,4.896,-2.6,-0.1,0,1
10,1418996,3890600,14,3,97.344002,5.6,-3.5,0.4,0,1
10,1418996,3890600,15,3,145.952011,-1.056,-2.7,-0.5,0,1
10,1418996,3890600,16,3,126.272003,4.96,-2.6,0,0,1
10,1418996,3890700,14,3,97.088005,5.6,-3.5,0.4,0,1
10,1418996,3890700,15,3,145.728012,-0.896,-2.7,-0.4,0,1
10,1418996,3890700,16,3,126.080009,4.928,-2.7,-0.1,0,1
10,1418996,3890800,14,3,96.576004,5.536,-3.4,0.4,0,1
10,1418996,3890800,15,3,145.344009,-0.416,-2.7,-0.1,0,1
