Device,Trip,Time,LaneDistanceLeft,LaneDistanceRight,LaneHeading,LaneQualityRight,LaneQualityLeft
10207,106,0,-1.144531,2.3125,-9.5000006E-3,2,0
10207,106,10,-1.148438,2.289063,-8.0000004E-3,2,0
10207,106,20,-1.148438,2.269531,-7.0000002E-3,2,0
10207,106,30,-1.152344,2.246094,-0.003,2,0
10207,106,40,-1.15625,2.222656,-0.001,2,0
10207,106,50,-1.160156,2.199219,0.0015,2,0
10207,106,60,-1.160156,2.199219,2.4999999E-3,2,0
10207,106,70,-1.167969,2.175781,2.4999999E-3,2,0
10207,106,80,-1.175781,2.148438,2.4999999E-3,2,0
10207,106,90,-1.183594,2.125,2.4999999E-3,2,0
10207,106,100,-1.191406,2.101563,2.4999999E-3,2,0
10207,106,110,-1.207031,1.972656,9.9999998E-3,2,2
10207,106,120,-1.214844,1.980469,0.012,2,2
10207,106,130,-1.222656,1.972656,0.0135,2,2
10207,106,140,-1.226563,1.960938,0.015,2,2
10207,106,150,-1.226563,1.957031,1.6000001E-2,2,2
10207,106,160,-1.226563,1.949219,1.7000001E-2,2,2
10207,106,170,-1.226563,1.941406,1.7000001E-2,2,2
10207,106,180,-1.238281,1.941406,0.0165,2,2
