DeviceID,TripID,EpochStartTime,StartDate,StartTime,EpochEndTime,EndDate,EndTime,TotalTripDistance (km),DistanceOver25MPH (km),DistanceOver55MPH (km),TripDuration (s),AverageSpeed (m/s),MaximumSpeed (m/s)
10,13750,1349109353,10/1/2012,12:35:53,1349109409,10/1/2012,12:36:49,0.657536,0.547516,0,55.899942,11.762731,14.8
6521,1674376,1350254529,10/14/2012,18:42:08,1350255172,10/14/2012,18:52:51,6.311296,4.760136,0,643.099978,9.813864,18.76
6521,1674377,1350257777,10/14/2012,19:36:17,1350257795,10/14/2012,19:36:35,0.233348,0.233348,0,17.900002,13.0362,14.56
6521,1674380,1350262101,10/14/2012,20:48:20,1350262502,10/14/2012,20:55:01,2.664224,2.047584,0,400.800021,6.647265,18.639999
6521,1674381,1350262643,10/14/2012,20:57:23,1350262887,10/14/2012,21:01:27,2.006398,1.42364,0,244.100018,8.219573,19.379999
6521,1674382,1350276041,10/15/2012,0:40:41,1350276492,10/15/2012,0:48:11,3.117436,2.764502,0,450.100011,6.926096,19.82
6521,1674383,1350281597,10/15/2012,2:13:17,1350281645,10/15/2012,2:14:04,0.795776,0.726282,0,47.699981,16.682942,19.719999
6521,1674384,1350282059,10/15/2012,2:20:59,1350282187,10/15/2012,2:23:06,1.62651,1.358466,0,127.799898,12.727005,18.120001
6521,1674385,1350319433,10/15/2012,12:43:52,1350319593,10/15/2012,12:46:32,2.068936,1.758748,0,159.999998,12.93085,19.719999
6521,1674386,1350323468,10/15/2012,13:51:07,1350323641,10/15/2012,13:54:01,2.365634,2.036512,0,173.399938,13.642646,18.440001
6521,1674387,1350328030,10/15/2012,15:07:10,1350328275,10/15/2012,15:11:15,2.398284,1.661054,0,245.000023,9.788913,17.5
6521,1674388,1350348438,10/15/2012,20:47:18,1350348515,10/15/2012,20:48:34,0.89287,0.708232,0,76.199996,11.717455,17.32
6521,1674391,1350356163,10/15/2012,22:56:03,1350356254,10/15/2012,22:57:34,1.35937,1.345118,0,91.000016,14.938129,16.9
6521,1674392,1350405708,10/16/2012,12:41:47,1350405747,10/16/2012,12:42:26,0.232908,0.025468,0,38.899543,5.987423,11.88
6521,1674394,1350435571,10/16/2012,20:59:31,1350436221,10/16/2012,21:10:21,4.47902,2.892058,0,649.599893,6.895044,19.6
6521,1674396,1350440900,10/16/2012,22:28:20,1350441141,10/16/2012,22:32:21,2.869964,2.450976,0,241.099979,11.903626,17.6
6521,1674397,1350442536,10/16/2012,22:55:36,1350442644,10/16/2012,22:57:24,1.60901,1.537366,0,108.199987,14.870704,16.620001
6521,1674398,1350443295,10/16/2012,23:08:15,1350443929,10/16/2012,23:18:49,5.604384,4.526626,0,634.099958,8.838329,20.4
6521,1674399,1350491685,10/17/2012,12:34:44,1350491937,10/17/2012,12:38:57,1.706776,0.742984,0,252.299912,6.76487,14.82
